word,index
nesta,0
dilma,1
lula,2
disse,3
federal,4
tribunal,5
segundo,6
lava,7
jato,8
ano,9
2017,10
anos,11
video,12
diz,13
quartafeira,14
sobre,15
brasil,16
rio,17
tercafeira,18
desta,19
hoje,20
lavajato,21
decisao,22
quintafeira,23
g1,24
globo,25
pt,26
luiz,27
eldorado,28
supremo,29
segundafeira,30
jornalista,31
apos,32
acordo,33
tudo,34
sextafeira,35
regiao,36
pra,37
temer,38
petista,39
moro,40
atraves,41
povo,42
pais,43
dia,44
impeachment,45
durante,46
operacao,47
informou,48
podera,49
primeira,50
julgamento,51
tres,52
silva,53
sergio,54
cunha,55
redes,56
justica,57
ouvir,58
janeiro,59
noite,60
presidente,61
principais,62
afirmou,63
vai,64
eua,65
inacio,66
denuncia,67
sociais,68
expresidente,69
desde,70
estados,71
ministerio,72
camara,73
pedido,74
defesa,75
deputado,76
sendo,77
informacoes,78
bolsonaro,79
porque,80
materia,81
clique,82
2018,83
reforma,84
site,85
dois,86
nada,87
acao,88
vamos,89
paulo,90
aqui,91
fazer,92
senador,93
regional,94
stf,95
segunda,96
comentario,97
meio,98
fez,99
unidos,100
pode,101
ontem,102
milhoes,103
todo,104
eleitoral,105
bem,106
jornal,107
trf4,108
integra,109
todos,110
ira,111
declarou,112
revista,113
republica,114
qualquer,115
esposa,116
neste,117
afirma,118
seguranca,119
estado,120
porem,121
beminformado,122
corrupcao,123
relator,124
leia,125
jbs,126
contra,127
ninguem,128
fato,129
processo,130
odebrecht,131
instancia,132
folha,133
exercito,134
informacao,135
kim,136
passado,137
politicos,138
homem,139
publicou,140
dinheiro,141
previdencia,142
cara,143
diario,144
ai,145
deus,146
24,147
marco,148
algo,149
dezembro,150
prisao,151
pf,152
fevereiro,153
violencia,154
brasileiros,155
fachin,156
coisa,157
estaria,158
sabe,159
apresentador,160
quatro,161
rousseff,162
reais,163
condenacao,164
agora,165
alguns,166
investigacao,167
sabado,168
governador,169
boa,170
radio,171
delcidio,172
sim,173
gente,174
midia,175
inquerito,176
quer,177
filho,178
noticias,179
terminar,180
dizer,181
rodrigo,182
tal,183
26,184
cidadao,185
nova,186
sul,187
seguida,188
general,189
ministros,190
renan,191
eduardo,192
momento,193
vou,194
domingo,195
duas,196
20,197
15,198
la,199
fm,200
mundo,201
passiva,202
seis,203
toda,204
quarta,205
antes,206
semana,207
novo,208
primeiro,209
batista,210
rede,211
terca,212
eleicao,213
maia,214
1073,215
play,216
outras,217
publica,218
ultima,219
aconteceu,220
petistas,221
fonte,222
somente,223
crise,224
depoimento,225
12,226
trump,227
brasilia,228
recursos,229
nacional,230
portal,231
centro,232
publico,233
pois,234
norte,235
recurso,236
cadeia,237
organizacao,238
cidade,239
presidenta,240
bbc,241
palavras,242
lavagem,243
antagonista,244
policia,245
poderia,246
confira,247
alegre,248
etc,249
agosto,250
vida,251
guerra,252
porto,253
pessoa,254
preso,255
novembro,256
machado,257
mercado,258
degravacao,259
base,260
manha,261
maio,262
julho,263
ator,264
zona,265
desse,266
superior,267
psdb,268
situacao,269
nega,270
7h30m,271
reu,272
ultimo,273
mil,274
